state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year
Uttar Pradesh,Prayagraj,562,86,20,0,5,2020-21
Uttar Pradesh,Rae Bareli,352,51,19,0,2,2020-21
Uttar Pradesh,Rampur,211,35,5,0,2,2020-21
Uttar Pradesh,Saharanpur,364,62,21,0,2,2020-21
Uttar Pradesh,Sambhal,214,31,10,0,1,2020-21
Uttar Pradesh,Sant Kabir Nagar,185,23,4,0,1,2020-21
Uttar Pradesh,Shahjahanpur,298,47,17,0,2,2020-21
Uttar Pradesh,Shamli,135,26,7,0,1,2020-21
Uttar Pradesh,Shravasti,125,12,6,0,1,2020-21
Uttar Pradesh,Siddharth Nagar,278,64,8,0,1,2020-21
Uttar Pradesh,Sitapur,471,66,19,0,2,2020-21
Uttar Pradesh,Sonbhadra,173,31,7,0,2,2020-21
Uttar Pradesh,Sultanpur,244,45,14,0,2,2020-21
Uttar Pradesh,Unnao,357,48,13,0,2,2020-21
Uttar Pradesh,Varanasi,320,51,12,0,4,2020-21
Karnataka,Bagalkote,233,55,8,5,1,2021-22
Karnataka,Ballari,348,92,13,7,1,2021-22
Karnataka,Belagavi,619,146,16,9,0,2021-22
Karnataka,Bengaluru Rural,199,50,2,4,0,2021-22
Karnataka,Bengaluru Urban,279,203,11,4,0,2021-22
Karnataka,Bidar,275,58,8,4,0,2021-22
Karnataka,Chamarajanagara,254,62,3,2,0,2021-22
Karnataka,Chikkaballapura,200,61,2,5,1,2021-22
Karnataka,Chikkamagaluru,365,91,5,6,1,2021-22
Karnataka,Chitradurga,328,86,11,5,1,2021-22
Karnataka,Dakshina Kannada,430,76,8,4,1,2021-22
Karnataka,Davangere,227,89,4,4,1,2021-22
Karnataka,Dharwad,185,53,0,3,1,2021-22
Karnataka,Gadag,188,42,2,4,0,2021-22
Karnataka,Hassan,468,138,15,7,0,2021-22
Karnataka,Haveri,310,72,5,6,1,2021-22
Karnataka,Kalaburagi,323,102,16,6,0,2021-22
Karnataka,Kodagu,196,30,7,2,0,2021-22
Karnataka,Kolar,240,68,2,5,1,2021-22
Karnataka,Koppal,173,48,9,3,0,2021-22
Karnataka,Mandya,410,116,10,6,0,2021-22
Karnataka,Mysuru,510,147,10,6,1,2021-22
Karnataka,Raichur,213,57,6,4,0,2021-22
Karnataka,Ramanagara,241,65,4,3,1,2021-22
Karnataka,Shivamogga,344,107,7,6,0,2021-22
Karnataka,Tumakuru,572,150,4,9,1,2021-22
Karnataka,Udupi,318,62,6,2,1,2021-22
Karnataka,Uttara Kannada,344,85,3,10,0,2021-22
Karnataka,Vijayapura,311,66,9,4,1,2021-22
Karnataka,Yadgir,169,44,6,2,1,2021-22
Maharashtra,Ahmednagar,565,107,23,2,1,2021-22
Maharashtra,Akola,178,42,5,1,0,2021-22
Maharashtra,Amravati,334,75,9,5,1,2021-22
Maharashtra,Aurangabad,279,74,10,3,1,2021-22
Maharashtra,Beed,297,57,10,3,1,2021-22
Maharashtra,Bhandara,193,34,7,2,1,2021-22
Maharashtra,Buldhana,280,58,12,1,1,2021-22
Maharashtra,Chandrapur,339,67,10,3,0,2021-22
Maharashtra,Dhule,232,47,5,2,1,2021-22
Maharashtra,Gadchiroli,376,48,9,3,1,2021-22
Maharashtra,Gondia,258,41,10,1,0,2021-22
Maharashtra,Hingoli,132,27,3,2,1,2021-22
Maharashtra,Jalgaon,442,95,17,3,0,2021-22
Maharashtra,Jalna,218,44,9,1,1,2021-22
Maharashtra,Kolhapur,413,92,18,4,0,2021-22
Maharashtra,Latur,252,60,10,1,0,2021-22
